x_handle,x_user_id,ref_type,ref_id,display_name,followers,followers_note,verified,last_checked,source_url,found_via,all_refs
Caspersight,499080691,person,UP-0533,Ben Hendy,41032,X API 2026-09-14,False,2026-09-14,@Caspersight,mention,person:UP-0533
ClintWeldon,22502239,person,UP-0571,Clint Weldon,1919,X API 2026-09-14,False,2026-09-14,@ClintWeldon,mention,person:UP-0571
cosmicroad,,person,UP-0643,Jack Conner,,lookup failed (unresolvable); review handle,,2026-09-14,@cosmicroad,mention,person:UP-0643
Escapevelocity1,16293337,person,UP-0577,Craig Oliver,0,resolved to 'Escapevelocity' (0 followers); suspect; review,False,2026-09-14,@EscapeVelocity1,mention,person:UP-0577
EyesOnCinema,1315963460363190277,person,UP-0613,Eyes On Cinema,43,resolved to '#elsextosentido' (43 followers) - likely wrong/stale handle; review,False,2026-09-14,@eyesoncinema,mention,person:UP-0613
ForbiddenKnow10,1275897003835371524,person,UP-0562,Chris Mathieu,2169,X API 2026-09-14,False,2026-09-14,@ForbiddenKnow10,mention,person:UP-0562
houseinhabit,849322409312256000,person,UP-0661,Jessica Reed Kraus,67336,X API 2026-09-14,False,2026-09-14,@houseinhabit,mention,person:UP-0661
InfinityDisclsd,1754277511783997440,person,UP-0623,Gene Sticco,3124,X API 2026-09-14,False,2026-09-14,@InfinityDisclsd,mention,person:UP-0623
jaymez,,person,UP-0651,James LaFleur,441k,lookup failed (unresolvable); review handle,,2026-09-14,@Jaymez,mention,person:UP-0651
juliandorey,1260022316756434944,person,UP-0682,Julian Dorey,186159,X API 2026-09-14,False,2026-09-14,@juliandorey,mention,person:UP-0682
pavelibarrameda,286281159,person,UP-0753,Pavel Ibarra Meda,8517,X API 2026-09-14,False,2026-09-14,@pavelibarrameda,mention,person:UP-0753
psicoactivopod,1376059083426459648,person,UP-0753,Pavel Ibarra Meda,2702,X API 2026-09-14,False,2026-09-14,@PsicoactivoPod,mention,person:UP-0753
RedPandaKoala,1154630765012897792,person,UP-0771,Red Panda Koala,103071,X API 2026-09-14,False,2026-09-14,@RedPandaKoala,mention,person:UP-0771
road_mystery,1421239146174156809,person,UP-0643,Jack Conner,3258,X API 2026-09-14 | resolved to 'Cosmic Road',False,2026-09-14,@road_mystery,mention,person:UP-0643
SecureTeam10,2717695087,person,UP-0836,Tyler Glockner,97077,X API 2026-09-14,False,2026-09-14,@secureteam10,mention,person:UP-0836
SunOfAbramelin,1927885236224057344,person,UP-0723,Matthew (Sun of Abramelin),26282,X API 2026-09-14,False,2026-09-14,@sunofabramelin,mention,person:UP-0723
TheUfoJoe,1350189436819017728,person,UP-0509,Joe Murgia,116932,X API 2026-09-14,False,2026-09-14,@TheUfoJoe,mention|url,person:UP-0509
timventura,17355590,person,UP-0827,Tim Ventura,17599,X API 2026-09-14,False,2026-09-14,@timventura,mention,person:UP-0827
UAPGERB,173616014,person,UP-0839,UAP Gerb,26259,X API 2026-09-14,False,2026-09-14,@UAPGerb,mention,person:UP-0839
WitnessCitizen,2075177107336863744,person,UP-0798,Sean Raasch,1233,X API 2026-09-14,False,2026-09-14,@WitnessCitizen,mention,person:UP-0798
